,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Age,90 Mins,Goals,Shots,Shots_on_targ,Expected_goals,Age_Group,Physical_Category
374,374,361,Alex Murphy,IRL,"FW,DF",Newcastle Utd,19.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
375,375,362,Jacob Murphy,ENG,FW,Newcastle Utd,29.0,8.0,2.0,21.0,6.0,1.3,26-39 (Older),Less Physical
376,376,363,Vitaliy Mykolenko,UKR,DF,Everton,24.0,24.9,2.0,24.0,5.0,1.5,17-25 (Younger),More Physical
377,377,364,Marvelous Nakamba,ZIM,MF,Luton Town,30.0,12.6,0.0,5.0,0.0,0.2,26-39 (Older),Less Physical
378,378,365,Michael Ndiweni,ENG,FW,Newcastle Utd,20.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
379,379,366,Reiss Nelson,ENG,FW,Arsenal,24.0,3.0,0.0,4.0,1.0,0.2,17-25 (Younger),More Physical
380,380,367,Zack Nelson,ENG,MF,Luton Town,19.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
381,381,368,Neto,BRA,GK,Bournemouth,34.0,29.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
382,382,369,Pedro Neto,POR,"FW,MF",Wolves,24.0,16.7,2.0,35.0,11.0,3.4,17-25 (Younger),More Physical
383,383,370,Moussa Niakhate,SEN,DF,Nott'ham Forest,28.0,12.9,1.0,5.0,1.0,1.1,26-39 (Older),Less Physical
384,384,371,Eddie Nketiah,ENG,FW,Arsenal,24.0,12.0,5.0,38.0,12.0,4.5,17-25 (Younger),More Physical
385,385,372,Christopher Nkunku,FRA,"FW,MF",Chelsea,26.0,3.5,2.0,11.0,5.0,1.7,26-39 (Older),More Physical
386,386,373,Rhys Norrington-Davies,WAL,DF,Sheffield Utd,24.0,1.2,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
387,387,374,Oliver Norwood,NIR,MF,Sheffield Utd,32.0,15.7,1.0,14.0,5.0,1.1,26-39 (Older),Less Physical
388,388,375,Matheus Nunes,POR,MF,Wolves,25.0,2.0,0.0,1.0,0.0,0.1,17-25 (Younger),More Physical
390,390,376,Matheus Nunes,POR,"MF,FW",Manchester City,25.0,6.0,0.0,5.0,2.0,0.5,17-25 (Younger),More Physical
391,391,377,Darwin Núñez,URU,FW,Liverpool,24.0,20.1,11.0,99.0,41.0,14.7,17-25 (Younger),More Physical
392,392,378,Ethan Nwaneri,ENG,FW,Arsenal,17.0,0.2,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
393,393,379,Christian Nørgaard,DEN,MF,Brentford,30.0,24.2,2.0,33.0,7.0,3.4,26-39 (Older),Less Physical
394,394,380,Dara O'Shea,IRL,DF,Burnley,25.0,27.1,2.0,15.0,4.0,0.6,17-25 (Younger),More Physical
395,395,381,Michael Obafemi,IRL,"FW,MF",Burnley,23.0,0.2,0.0,2.0,0.0,0.1,17-25 (Younger),More Physical
396,396,382,Wilson Odobert,FRA,"MF,FW",Burnley,19.0,17.4,3.0,37.0,12.0,2.2,17-25 (Younger),More Physical
397,397,383,Chiedozie Ogbene,IRL,"MF,DF",Luton Town,26.0,21.1,4.0,32.0,13.0,4.1,26-39 (Older),More Physical
398,398,384,Angelo Ogbonna,ITA,DF,West Ham,35.0,3.6,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
399,399,385,Michael Olakigbe,ENG,"DF,FW",Brentford,19.0,0.7,0.0,3.0,0.0,0.1,17-25 (Younger),More Physical
400,400,386,Michael Olise,FRA,"FW,MF",Crystal Palace,22.0,8.6,6.0,30.0,9.0,3.2,17-25 (Younger),More Physical
401,401,387,Robin Olsen,SWE,GK,Aston Villa,34.0,2.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
402,402,388,Andrew Omobamidele,IRL,DF,Nott'ham Forest,21.0,7.5,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
403,403,389,Amadou Onana,BEL,MF,Everton,22.0,20.0,2.0,25.0,6.0,1.8,17-25 (Younger),More Physical
404,404,390,André Onana,CMR,GK,Manchester Utd,28.0,31.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
405,405,391,Ryan One,SCO,FW,Sheffield Utd,17.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
406,406,392,Tyler Onyango,ENG,MF,Everton,21.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
407,407,393,Fred Onyedinma,ENG,"DF,MF",Luton Town,27.0,1.3,0.0,3.0,2.0,0.1,26-39 (Older),Less Physical
408,408,394,Frank Onyeka,NGA,MF,Brentford,26.0,12.8,0.0,21.0,8.0,1.9,26-39 (Older),More Physical
409,409,395,Divock Origi,BEL,FW,Nott'ham Forest,28.0,6.4,0.0,14.0,2.0,1.4,26-39 (Older),Less Physical
410,410,396,Stefan Ortega,GER,GK,Manchester City,31.0,5.3,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
411,411,397,Ben Osborn,ENG,"DF,MF",Sheffield Utd,29.0,10.1,0.0,3.0,0.0,0.2,26-39 (Older),Less Physical
412,412,398,Gabriel Osho,NGA,DF,Luton Town,25.0,15.5,2.0,8.0,2.0,1.0,17-25 (Younger),More Physical
413,413,399,William Osula,DEN,FW,Sheffield Utd,20.0,8.4,0.0,20.0,7.0,1.6,17-25 (Younger),More Physical
414,414,400,Dango Ouattara,BFA,"FW,DF",Bournemouth,22.0,8.7,1.0,20.0,3.0,1.9,17-25 (Younger),More Physical
416,416,401,David Ozoh,ENG,"MF,DF",Crystal Palace,18.0,1.7,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
417,417,402,João Palhinha,POR,MF,Fulham,28.0,24.5,4.0,38.0,11.0,2.9,26-39 (Older),Less Physical
418,418,403,Cole Palmer,ENG,MF,Manchester City,21.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
419,419,404,Cole Palmer,ENG,"FW,MF",Chelsea,21.0,22.1,16.0,69.0,27.0,12.5,17-25 (Younger),More Physical
420,420,405,Emerson Palmieri,ITA,DF,West Ham,29.0,29.2,1.0,15.0,3.0,1.1,26-39 (Older),Less Physical
421,421,406,Lucas Paquetá,BRA,"FW,MF",West Ham,26.0,23.4,4.0,35.0,7.0,5.1,26-39 (Older),More Physical
422,422,407,Ben Parkinson,ENG,FW,Newcastle Utd,19.0,0.3,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
423,423,408,Thomas Partey,GHA,"DF,MF",Arsenal,30.0,4.1,0.0,2.0,1.0,0.1,26-39 (Older),Less Physical
424,424,409,Nathan Patterson,SCO,DF,Everton,22.0,10.7,0.0,4.0,0.0,0.3,17-25 (Younger),More Physical
425,425,410,Myles Peart-Harris,ENG,"DF,MF",Brentford,21.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
426,426,411,Sydie Peck,ENG,MF,Sheffield Utd,19.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
427,427,412,Facundo Pellistri,URU,"FW,MF",Manchester Utd,22.0,1.9,0.0,4.0,2.0,0.7,17-25 (Younger),More Physical
428,428,413,Andreas Pereira,BRA,MF,Fulham,28.0,24.7,1.0,43.0,13.0,2.7,26-39 (Older),Less Physical
429,429,414,Ivan Perišić,CRO,FW,Tottenham,35.0,1.1,0.0,2.0,0.0,0.1,26-39 (Older),Less Physical
430,430,415,Đorđe Petrović,SRB,GK,Chelsea,24.0,14.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
431,431,416,Kalvin Phillips,ENG,MF,West Ham,28.0,3.3,0.0,3.0,2.0,0.1,26-39 (Older),Less Physical
432,432,417,Kalvin Phillips,ENG,MF,Manchester City,28.0,1.0,0.0,2.0,0.0,0.1,26-39 (Older),Less Physical
433,433,418,Jaden Philogene Bidace,ENG,FW,Aston Villa,22.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
434,434,419,Jordan Pickford,ENG,GK,Everton,30.0,31.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
435,435,420,Ethan Pinnock,JAM,DF,Brentford,30.0,23.0,1.0,15.0,3.0,1.7,26-39 (Older),Less Physical
436,436,421,Nick Pope,ENG,GK,Newcastle Utd,31.0,13.9,0.0,1.0,0.0,0.0,26-39 (Older),Less Physical
437,437,422,Pedro Porro,ESP,DF,Tottenham,24.0,28.0,1.0,42.0,8.0,2.5,17-25 (Younger),More Physical
438,438,423,Jarell Quansah,ENG,DF,Liverpool,21.0,7.9,0.0,3.0,1.0,0.1,17-25 (Younger),More Physical
439,439,424,Ionuț Radu,ROU,GK,Bournemouth,26.0,2.0,0.0,0.0,0.0,0.0,26-39 (Older),More Physical
440,440,425,Jesurun Rak Sakyi,ENG,"MF,FW",Crystal Palace,21.0,1.5,0.0,5.0,1.0,0.4,17-25 (Younger),More Physical
442,442,426,Aaron Ramsdale,ENG,GK,Arsenal,25.0,6.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
443,443,427,Aaron Ramsey,ENG,"MF,FW",Burnley,21.0,5.9,0.0,6.0,2.0,0.3,17-25 (Younger),More Physical
444,444,428,Jacob Ramsey,ENG,"FW,MF",Aston Villa,22.0,9.5,1.0,19.0,4.0,2.2,17-25 (Younger),More Physical
445,445,429,Marcus Rashford,ENG,FW,Manchester Utd,26.0,24.0,7.0,58.0,19.0,7.1,26-39 (Older),More Physical
446,446,430,David Raya,ESP,GK,Arsenal,28.0,25.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
447,447,431,Tim Ream,USA,DF,Fulham,36.0,15.7,1.0,1.0,1.0,1.0,26-39 (Older),Less Physical
448,448,432,Nathan Redmond,ENG,"FW,MF",Burnley,30.0,1.6,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
449,449,433,Harrison Reed,ENG,MF,Fulham,29.0,13.0,0.0,7.0,1.0,0.2,26-39 (Older),Less Physical
450,450,434,Sergio Reguilón,ESP,DF,Manchester Utd,27.0,4.6,0.0,4.0,0.0,0.2,26-39 (Older),Less Physical
451,451,435,Sergio Reguilón,ESP,DF,Brentford,27.0,6.8,0.0,10.0,1.0,0.6,26-39 (Older),Less Physical
452,452,436,Bobby Reid,JAM,FW,Fulham,31.0,13.3,6.0,27.0,8.0,4.0,26-39 (Older),Less Physical
453,453,437,Gio Reyna,USA,"MF,FW",Nott'ham Forest,21.0,1.1,0.0,2.0,1.0,0.1,17-25 (Younger),More Physical
454,454,438,Rodrigo Ribeiro,POR,FW,Nott'ham Forest,18.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
455,455,439,Declan Rice,ENG,MF,Arsenal,25.0,28.8,6.0,41.0,14.0,2.3,17-25 (Younger),More Physical
456,456,440,Chris Richards,USA,"DF,MF",Crystal Palace,24.0,17.3,1.0,6.0,1.0,0.3,17-25 (Younger),More Physical
457,457,441,Richarlison,BRA,FW,Tottenham,26.0,15.2,10.0,58.0,23.0,8.8,26-39 (Older),More Physical
458,458,442,Jaïro Riedewald,NED,"MF,FW",Crystal Palace,27.0,2.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
459,459,443,Matt Ritchie,SCO,FW,Newcastle Utd,34.0,1.2,1.0,5.0,3.0,0.8,26-39 (Older),Less Physical
460,460,444,Connor Roberts,WAL,DF,Burnley,28.0,9.1,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
461,461,445,Andrew Robertson,SCO,DF,Liverpool,30.0,13.2,1.0,7.0,2.0,0.9,26-39 (Older),Less Physical
462,462,446,Antonee Robinson,USA,DF,Fulham,26.0,30.4,0.0,13.0,7.0,0.6,26-39 (Older),More Physical
463,463,447,Jack Robinson,ENG,DF,Sheffield Utd,30.0,28.8,1.0,11.0,5.0,1.1,26-39 (Older),Less Physical
464,464,448,Rodri,ESP,MF,Manchester City,27.0,26.7,7.0,57.0,20.0,3.8,26-39 (Older),Less Physical
465,465,449,Jay Rodriguez,ENG,FW,Burnley,34.0,8.6,2.0,20.0,6.0,3.4,26-39 (Older),Less Physical
466,466,450,Mads Roerslev,DEN,DF,Brentford,24.0,19.3,1.0,6.0,1.0,0.9,17-25 (Younger),More Physical
468,468,451,Morgan Rogers,ENG,"MF,FW",Aston Villa,21.0,3.8,1.0,7.0,3.0,1.0,17-25 (Younger),More Physical
469,469,452,Cristian Romero,ARG,DF,Tottenham,25.0,24.0,4.0,13.0,5.0,1.6,17-25 (Younger),More Physical
470,470,453,Joe Rothwell,ENG,MF,Bournemouth,29.0,4.3,0.0,2.0,0.0,0.1,26-39 (Older),Less Physical
471,471,454,Pelly Ruddock Mpanzu,COD,MF,Luton Town,30.0,11.7,0.0,10.0,1.0,0.6,26-39 (Older),Less Physical
472,472,455,José Sá,POR,GK,Wolves,31.0,27.7,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
473,473,456,Bukayo Saka,ENG,FW,Arsenal,22.0,26.7,14.0,79.0,24.0,12.5,17-25 (Younger),More Physical
474,474,457,Mohamed Salah,EGY,FW,Liverpool,31.0,22.8,17.0,84.0,36.0,17.9,26-39 (Older),Less Physical
475,475,458,William Saliba,FRA,DF,Arsenal,23.0,31.0,2.0,8.0,2.0,1.5,17-25 (Younger),More Physical
476,476,459,Albert Sambi Lokonga,BEL,MF,Luton Town,24.0,9.7,0.0,7.0,1.0,0.4,17-25 (Younger),More Physical
477,477,460,Davinson Sánchez,COL,DF,Tottenham,27.0,0.9,0.0,1.0,0.0,0.1,26-39 (Older),Less Physical
478,478,461,Robert Sánchez,ESP,GK,Chelsea,26.0,15.9,0.0,0.0,0.0,0.0,26-39 (Older),More Physical
479,479,462,Jadon Sancho,ENG,"FW,MF",Manchester Utd,24.0,0.9,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
480,480,463,Ibrahim Sangaré,CIV,MF,Nott'ham Forest,26.0,11.1,0.0,8.0,0.0,0.6,26-39 (Older),More Physical
481,481,464,Andrey Santos,BRA,MF,Nott'ham Forest,19.0,0.1,0.0,2.0,0.0,0.1,17-25 (Younger),More Physical
482,482,465,Pablo Sarabia,ESP,"MF,FW",Wolves,31.0,16.9,4.0,41.0,14.0,5.2,26-39 (Older),Less Physical
483,483,466,Dane Scarlett,ENG,FW,Tottenham,20.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
484,484,467,Kevin Schade,GER,"FW,MF",Brentford,22.0,2.9,1.0,5.0,2.0,0.7,17-25 (Younger),More Physical
485,485,468,Fabian Schär,SUI,DF,Newcastle Utd,32.0,30.1,3.0,31.0,8.0,2.4,26-39 (Older),Less Physical
486,486,469,Jeffrey Schlupp,GHA,"FW,MF",Crystal Palace,31.0,14.4,1.0,18.0,10.0,1.8,26-39 (Older),Less Physical
487,487,470,Alex Scott,ENG,MF,Bournemouth,20.0,8.2,1.0,9.0,2.0,0.5,17-25 (Younger),More Physical
488,488,471,Matz Sels,BEL,GK,Nott'ham Forest,32.0,10.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
489,489,472,Nélson Semedo,POR,"DF,MF",Wolves,30.0,29.0,0.0,14.0,3.0,0.9,26-39 (Older),Less Physical
490,490,473,Antoine Semenyo,GHA,FW,Bournemouth,24.0,18.1,7.0,57.0,25.0,3.9,17-25 (Younger),More Physical
491,491,474,Marcos Senesi,ARG,DF,Bournemouth,26.0,18.5,3.0,7.0,3.0,1.0,26-39 (Older),More Physical
492,492,475,Luke Shaw,ENG,DF,Manchester Utd,28.0,10.7,0.0,2.0,0.0,0.0,26-39 (Older),Less Physical
494,494,476,Bernardo Silva,POR,"MF,FW",Manchester City,29.0,22.9,6.0,29.0,13.0,3.4,26-39 (Older),Less Physical
495,495,477,Fábio Silva,POR,FW,Wolves,21.0,2.9,0.0,7.0,3.0,1.0,17-25 (Younger),More Physical
496,496,478,Thiago Silva,BRA,DF,Chelsea,39.0,23.0,3.0,10.0,4.0,0.5,26-39 (Older),Less Physical
497,497,479,Luis Sinisterra,COL,"FW,MF",Bournemouth,24.0,7.3,2.0,26.0,8.0,2.5,17-25 (Younger),More Physical
498,498,480,Oliver Skipp,ENG,"MF,FW",Tottenham,23.0,6.5,0.0,3.0,1.0,0.6,17-25 (Younger),More Physical
499,499,481,Adam Smith,ENG,DF,Bournemouth,32.0,18.8,0.0,1.0,0.0,0.0,26-39 (Older),Less Physical
500,500,482,Emile Smith Rowe,ENG,MF,Arsenal,23.0,3.5,0.0,12.0,5.0,1.7,17-25 (Younger),More Physical
501,501,483,Cédric Soares,POR,DF,Arsenal,32.0,0.7,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
502,502,484,Dominic Solanke,ENG,FW,Bournemouth,26.0,30.6,16.0,88.0,30.0,17.0,26-39 (Older),More Physical
503,503,485,Manor Solomon,ISR,FW,Tottenham,24.0,2.2,0.0,7.0,1.0,0.4,17-25 (Younger),More Physical
504,504,486,Tomáš Souček,CZE,MF,West Ham,29.0,27.3,6.0,38.0,12.0,6.4,26-39 (Older),Less Physical
505,505,487,Vinicius Souza,BRA,MF,Sheffield Utd,24.0,26.0,1.0,10.0,4.0,0.4,17-25 (Younger),More Physical
506,506,488,Jason Steele,ENG,GK,Brighton,33.0,15.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
507,507,489,Raheem Sterling,ENG,"FW,MF",Chelsea,29.0,20.6,6.0,46.0,17.0,6.1,26-39 (Older),Less Physical
508,508,490,John Stones,ENG,"DF,MF",Manchester City,29.0,11.6,1.0,4.0,2.0,1.0,26-39 (Older),Less Physical
509,509,491,Thomas Strakosha,ALB,GK,Brentford,29.0,1.5,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
510,510,492,Dominik Szoboszlai,HUN,MF,Liverpool,23.0,21.8,3.0,54.0,13.0,3.3,17-25 (Younger),More Physical
511,511,493,Matt Targett,ENG,DF,Newcastle Utd,28.0,0.9,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
512,512,494,James Tarkowski,ENG,DF,Everton,31.0,31.0,1.0,22.0,3.0,2.4,26-39 (Older),Less Physical
513,513,495,Nuno Tavares,POR,DF,Nott'ham Forest,24.0,5.1,0.0,7.0,1.0,0.2,17-25 (Younger),More Physical
514,514,496,Marcus Tavernier,ENG,FW,Bournemouth,25.0,22.6,3.0,51.0,15.0,3.8,17-25 (Younger),More Physical
515,515,497,Charlie Taylor,ENG,DF,Burnley,30.0,22.6,1.0,10.0,1.0,0.2,26-39 (Older),Less Physical
516,516,498,Kenny Tete,NED,DF,Fulham,28.0,8.6,1.0,4.0,1.0,0.9,26-39 (Older),Less Physical
517,517,499,Luke Thomas,ENG,DF,Sheffield Utd,22.0,10.2,0.0,6.0,1.0,0.5,17-25 (Younger),More Physical
518,518,500,Youri Tielemans,BEL,"MF,FW",Aston Villa,26.0,15.0,1.0,11.0,4.0,1.1,26-39 (Older),More Physical
520,520,501,Jurriën Timber,NED,DF,Arsenal,22.0,0.5,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
521,521,502,Harry Toffolo,ENG,DF,Nott'ham Forest,28.0,14.9,1.0,8.0,5.0,1.6,26-39 (Older),Less Physical
522,522,503,Takehiro Tomiyasu,JPN,DF,Arsenal,25.0,7.7,1.0,9.0,2.0,0.6,17-25 (Younger),More Physical
523,523,504,James Tomkins,ENG,DF,Crystal Palace,35.0,0.1,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
524,524,505,Sandro Tonali,ITA,MF,Newcastle Utd,23.0,4.9,1.0,3.0,2.0,0.7,17-25 (Younger),More Physical
525,525,506,Ivan Toney,ENG,FW,Brentford,28.0,12.1,4.0,39.0,15.0,4.7,26-39 (Older),Less Physical
526,526,507,Pau Torres,ESP,DF,Aston Villa,27.0,22.4,2.0,11.0,5.0,1.0,26-39 (Older),Less Physical
527,527,508,Andros Townsend,ENG,"MF,FW",Luton Town,32.0,12.3,1.0,19.0,7.0,1.2,26-39 (Older),Less Physical
528,528,509,James Trafford,ENG,GK,Burnley,21.0,28.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
529,529,510,Adama Traoré,ESP,"FW,MF",Fulham,28.0,2.4,1.0,7.0,4.0,1.3,26-39 (Older),Less Physical
530,530,511,Bertrand Traoré,BFA,"DF,FW",Aston Villa,28.0,0.1,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
531,531,512,Boubacar Traoré,MLI,"MF,FW",Wolves,22.0,4.8,0.0,6.0,1.0,0.1,17-25 (Younger),More Physical
532,532,513,Mike Trésor,BEL,"FW,MF",Burnley,24.0,4.5,0.0,5.0,0.0,0.5,17-25 (Younger),More Physical
533,533,514,Kieran Trippier,ENG,DF,Newcastle Utd,33.0,24.0,1.0,8.0,2.0,0.7,26-39 (Older),Less Physical
534,534,515,Leandro Trossard,BEL,"FW,MF",Arsenal,29.0,12.8,8.0,45.0,17.0,5.7,26-39 (Older),Less Physical
535,535,516,Auston Trusty,USA,DF,Sheffield Utd,25.0,21.6,0.0,7.0,1.0,0.3,17-25 (Younger),More Physical
536,536,517,Kostas Tsimikas,GRE,DF,Liverpool,27.0,7.5,0.0,3.0,0.0,0.1,26-39 (Older),Less Physical
537,537,518,Matt Turner,USA,GK,Nott'ham Forest,29.0,17.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
538,538,519,Destiny Udogie,ITA,DF,Tottenham,21.0,25.6,2.0,9.0,5.0,2.4,17-25 (Younger),More Physical
539,539,520,Lesley Ugochukwu,FRA,MF,Chelsea,20.0,3.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
540,540,521,Enes Ünal,TUR,"FW,MF",Bournemouth,26.0,1.5,1.0,11.0,4.0,1.1,26-39 (Older),More Physical
541,541,522,Virgil van Dijk,NED,DF,Liverpool,32.0,28.3,2.0,30.0,11.0,2.1,26-39 (Older),Less Physical
542,542,523,Raphaël Varane,FRA,DF,Manchester Utd,30.0,15.0,1.0,8.0,2.0,1.3,26-39 (Older),Less Physical
543,543,524,Alejo Véliz,ARG,FW,Tottenham,20.0,0.6,1.0,2.0,1.0,0.2,17-25 (Younger),More Physical
544,544,525,Joël Veltman,NED,DF,Brighton,32.0,14.5,0.0,3.0,2.0,0.2,26-39 (Older),Less Physical
546,546,526,Micky van de Ven,NED,DF,Tottenham,22.0,19.0,2.0,6.0,2.0,0.4,17-25 (Younger),More Physical
547,547,527,Bart Verbruggen,NED,GK,Brighton,21.0,16.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
548,548,528,Guglielmo Vicario,ITA,GK,Tottenham,27.0,31.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
549,549,529,Fabio Vieira,POR,"MF,FW",Arsenal,23.0,3.2,1.0,5.0,1.0,1.2,17-25 (Younger),More Physical
550,550,530,Carlos Vinícius,BRA,FW,Fulham,29.0,3.5,2.0,9.0,5.0,1.6,26-39 (Older),Less Physical
551,551,531,Vitinho,BRA,"DF,MF",Burnley,24.0,21.2,0.0,17.0,2.0,1.2,17-25 (Younger),More Physical
552,552,532,Odisseas Vlachodimos,GRE,GK,Nott'ham Forest,29.0,5.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
553,553,533,Kyle Walker,ENG,DF,Manchester City,33.0,25.1,0.0,16.0,3.0,0.4,26-39 (Older),Less Physical
554,554,534,Aaron Wan-Bissaka,ENG,DF,Manchester Utd,26.0,12.8,0.0,2.0,1.0,0.1,26-39 (Older),More Physical
555,555,535,Joel Ward,ENG,DF,Crystal Palace,34.0,21.8,0.0,10.0,0.0,0.9,26-39 (Older),Less Physical
556,556,536,James Ward-Prowse,ENG,MF,West Ham,29.0,28.9,6.0,36.0,13.0,5.7,26-39 (Older),Less Physical
557,557,537,Deivid Washington,BRA,DF,Chelsea,18.0,0.1,0.0,1.0,0.0,0.5,17-25 (Younger),More Physical
558,558,538,Ollie Watkins,ENG,FW,Aston Villa,28.0,30.0,18.0,91.0,42.0,15.0,26-39 (Older),Less Physical
559,559,539,Adam Webster,ENG,DF,Brighton,29.0,8.5,0.0,5.0,0.0,0.3,26-39 (Older),Less Physical
560,560,540,Danny Welbeck,ENG,"FW,MF",Brighton,33.0,13.4,4.0,34.0,13.0,4.0,26-39 (Older),Less Physical
561,561,541,Timo Werner,GER,FW,Tottenham,28.0,7.7,2.0,25.0,6.0,3.2,26-39 (Older),Less Physical
562,562,542,Adam Wharton,ENG,MF,Crystal Palace,19.0,7.9,0.0,3.0,0.0,0.1,17-25 (Younger),More Physical
563,563,543,Ben White,ENG,DF,Arsenal,26.0,26.7,2.0,8.0,4.0,0.7,26-39 (Older),More Physical
564,564,544,Joe White,ENG,MF,Newcastle Utd,21.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
565,565,545,Neco Williams,WAL,DF,Nott'ham Forest,22.0,15.8,0.0,9.0,1.0,0.4,17-25 (Younger),More Physical
566,566,546,Willian,BRA,FW,Fulham,35.0,20.4,4.0,41.0,15.0,4.9,26-39 (Older),Less Physical
567,567,547,Joe Willock,ENG,MF,Newcastle Utd,24.0,4.7,1.0,7.0,3.0,0.8,17-25 (Younger),More Physical
568,568,548,Callum Wilson,ENG,FW,Newcastle Utd,32.0,9.6,7.0,29.0,15.0,7.2,26-39 (Older),Less Physical
569,569,549,Harry Wilson,WAL,FW,Fulham,27.0,16.3,3.0,35.0,11.0,3.1,26-39 (Older),Less Physical
570,570,550,Yoane Wissa,COD,FW,Brentford,27.0,23.6,8.0,59.0,19.0,9.4,26-39 (Older),Less Physical
572,572,551,Chris Wood,NZL,FW,Nott'ham Forest,32.0,14.3,12.0,31.0,19.0,7.8,26-39 (Older),Less Physical
573,573,552,Cauley Woodrow,ENG,"FW,MF",Luton Town,29.0,3.7,1.0,10.0,3.0,1.1,26-39 (Older),Less Physical
574,574,553,Joe Worrall,ENG,DF,Nott'ham Forest,27.0,4.9,0.0,2.0,0.0,0.1,26-39 (Older),Less Physical
575,575,554,Yehor Yarmoliuk,UKR,MF,Brentford,20.0,6.8,0.0,9.0,4.0,0.9,17-25 (Younger),More Physical
576,576,555,Ryan Yates,ENG,MF,Nott'ham Forest,26.0,18.7,0.0,21.0,5.0,2.0,26-39 (Older),More Physical
577,577,556,Ashley Young,ENG,"DF,MF",Everton,38.0,19.1,0.0,12.0,2.0,0.6,26-39 (Older),Less Physical
578,578,557,Illia Zabarnyi,UKR,DF,Bournemouth,21.0,31.0,1.0,8.0,2.0,1.1,17-25 (Younger),More Physical
579,579,558,Nicolò Zaniolo,ITA,"MF,FW",Aston Villa,24.0,8.3,2.0,25.0,9.0,2.3,17-25 (Younger),More Physical
580,580,559,Anass Zaroury,MAR,"FW,MF",Burnley,23.0,1.7,0.0,3.0,1.0,0.2,17-25 (Younger),More Physical
581,581,560,Oleksandr Zinchenko,UKR,DF,Arsenal,27.0,17.6,1.0,16.0,3.0,0.5,26-39 (Older),Less Physical
582,582,561,Kurt Zouma,FRA,DF,West Ham,29.0,26.2,3.0,15.0,7.0,1.8,26-39 (Older),Less Physical
583,583,562,Martin Ødegaard,NOR,MF,Arsenal,25.0,27.5,7.0,58.0,18.0,5.9,17-25 (Younger),More Physical
