,Unnamed: 0,Rk,Player,Nation,Pos,Squad,Age,90 Mins,Goals,Shots,Shots_on_targ,Expected_goals,Age_Group,Physical_Category
212,212,205,Joe Gomez,ENG,DF,Liverpool,26.0,18.2,0.0,17.0,1.0,0.7,26-39 (Older),More Physical
213,213,206,Sergio Gómez,ESP,FW,Manchester City,23.0,0.3,0.0,1.0,0.0,0.2,17-25 (Younger),More Physical
214,214,207,Anthony Gordon,ENG,FW,Newcastle Utd,23.0,26.3,9.0,68.0,25.0,8.4,17-25 (Younger),More Physical
215,215,208,Kaide Gordon,ENG,FW,Liverpool,19.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
216,216,209,Daniel Gore,ENG,MF,Manchester Utd,19.0,0.0,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
217,217,210,Ryan Gravenberch,NED,MF,Liverpool,21.0,10.1,0.0,17.0,7.0,1.6,17-25 (Younger),More Physical
218,218,211,Ivo Grbić,CRO,GK,Sheffield Utd,28.0,6.6,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
219,219,212,Jack Grealish,ENG,FW,Manchester City,28.0,10.2,3.0,22.0,5.0,2.1,26-39 (Older),Less Physical
220,220,213,Pascal Groß,GER,"MF,DF",Brighton,32.0,27.6,4.0,45.0,15.0,5.4,26-39 (Older),Less Physical
221,221,214,Marc Guéhi,ENG,DF,Crystal Palace,23.0,21.2,0.0,5.0,0.0,0.6,17-25 (Younger),More Physical
222,222,215,Bruno Guimarães,BRA,MF,Newcastle Utd,26.0,29.3,4.0,36.0,11.0,3.2,26-39 (Older),More Physical
223,223,216,Malo Gusto,FRA,DF,Chelsea,20.0,17.0,0.0,11.0,2.0,0.7,17-25 (Younger),More Physical
224,224,217,Joško Gvardiol,CRO,DF,Manchester City,22.0,18.9,0.0,21.0,7.0,1.4,17-25 (Younger),More Physical
225,225,218,Erling Haaland,NOR,FW,Manchester City,23.0,23.4,19.0,93.0,41.0,21.8,17-25 (Younger),More Physical
226,226,219,Antwoine Hackford,ENG,FW,Sheffield Utd,20.0,0.1,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
227,227,220,Lewis Hall,ENG,DF,Newcastle Utd,19.0,3.5,0.0,1.0,1.0,0.0,17-25 (Younger),More Physical
228,228,221,Gustavo Hamer,NED,MF,Sheffield Utd,26.0,25.6,3.0,38.0,9.0,2.4,26-39 (Older),More Physical
229,229,222,Luke Harris,WAL,MF,Fulham,19.0,0.8,0.0,1.0,1.0,0.3,17-25 (Younger),More Physical
230,230,223,Jack Harrison,ENG,"MF,FW",Everton,27.0,20.1,3.0,26.0,8.0,3.2,26-39 (Older),Less Physical
231,231,224,Daiki Hashioka,JPN,DF,Luton Town,24.0,3.7,0.0,2.0,0.0,0.1,17-25 (Younger),More Physical
232,232,225,Kai Havertz,GER,"MF,FW",Arsenal,24.0,22.5,9.0,44.0,15.0,8.9,17-25 (Younger),More Physical
234,234,226,Jan Paul van Hecke,NED,DF,Brighton,23.0,24.3,0.0,15.0,6.0,1.2,17-25 (Younger),More Physical
235,235,227,Hwang Hee-chan,KOR,"FW,MF",Wolves,28.0,18.0,10.0,35.0,12.0,6.3,26-39 (Older),Less Physical
236,236,228,Dean Henderson,ENG,GK,Crystal Palace,27.0,11.0,0.0,0.0,0.0,0.0,26-39 (Older),Less Physical
237,237,229,Rico Henry,ENG,DF,Brentford,26.0,4.5,0.0,2.0,0.0,0.1,26-39 (Older),More Physical
238,238,230,Son Heung-min,KOR,FW,Tottenham,31.0,26.0,15.0,70.0,32.0,9.3,26-39 (Older),Less Physical
239,239,231,Aaron Hickey,SCO,DF,Brentford,21.0,7.9,0.0,7.0,1.0,0.2,17-25 (Younger),More Physical
240,240,232,James Hill,ENG,DF,Bournemouth,22.0,0.8,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
241,241,233,Jack Hinshelwood,ENG,DF,Brighton,18.0,9.7,3.0,14.0,8.0,1.9,17-25 (Younger),More Physical
242,242,234,Mason Holgate,ENG,DF,Sheffield Utd,27.0,4.9,0.0,2.0,0.0,0.4,26-39 (Older),Less Physical
243,243,235,Callum Hudson-Odoi,ENG,"FW,MF",Nott'ham Forest,23.0,14.8,5.0,23.0,13.0,1.8,17-25 (Younger),More Physical
244,244,236,Will Hughes,ENG,MF,Crystal Palace,28.0,16.4,0.0,4.0,2.0,0.2,26-39 (Older),Less Physical
245,245,237,Pierre Højbjerg,DEN,MF,Tottenham,28.0,11.9,0.0,15.0,5.0,0.5,26-39 (Older),Less Physical
246,246,238,Rasmus Højlund,DEN,FW,Manchester Utd,21.0,19.0,7.0,31.0,16.0,6.7,17-25 (Younger),More Physical
247,247,239,Igor,BRA,DF,Brighton,26.0,12.1,0.0,4.0,0.0,0.2,26-39 (Older),More Physical
248,248,240,Danny Ings,ENG,FW,West Ham,31.0,2.9,1.0,9.0,3.0,1.1,26-39 (Older),Less Physical
249,249,241,Tim Iroegbunam,ENG,MF,Aston Villa,20.0,1.4,0.0,0.0,0.0,0.0,17-25 (Younger),More Physical
250,250,242,Alexander Isak,SWE,FW,Newcastle Utd,24.0,18.6,15.0,50.0,26.0,14.4,17-25 (Younger),More Physical
251,251,243,Alex Iwobi,NGA,MF,Everton,27.0,1.6,0.0,4.0,2.0,0.3,26-39 (Older),Less Physical
252,252,244,Alex Iwobi,NGA,"FW,MF",Fulham,27.0,18.6,5.0,45.0,15.0,4.8,26-39 (Older),Less Physical
